"survey","bush","state","edu","age","female","black","weight"
"9152",1,7,2,2,1,0,1403
"9152",1,33,4,3,0,0,778
"9152",0,20,2,1,1,0,1564
"9152",1,31,3,2,1,0,1055
"9152",1,18,3,1,1,0,1213
"9152",1,31,4,2,0,0,910
"9152",1,40,1,3,0,0,735
"9152",1,33,4,2,1,0,410
"9152",0,22,4,2,1,0,410
"9152",1,22,4,3,0,0,778
"9152",1,33,4,1,1,0,2118
"9152",1,22,4,1,1,0,706
"9152",1,39,2,3,1,0,1323
"9152",1,33,2,3,0,0,735
"9152",0,31,4,2,1,0,410
"9152",1,33,2,3,0,0,2204
"9152",0,10,3,3,1,0,286
"9152",0,33,3,2,1,1,528
"9152",1,40,4,2,1,0,820
"9152",0,33,3,2,0,0,781
"9152",1,39,1,4,1,0,3508
"9152",1,31,4,2,0,0,455
"9152",1,33,1,4,0,0,1948
"9152",1,41,3,2,0,0,1001
"9152",0,33,4,2,1,1,1230
"9152",1,15,4,4,1,0,411
"9152",0,22,2,2,1,0,701
"9152",0,39,2,2,1,0,1403
"9152",0,22,3,2,0,0,781
"9152",1,7,4,3,1,0,701
"9152",0,33,4,3,0,0,778
"9152",1,22,4,3,0,0,778
"9152",0,10,1,4,1,0,1498
"9152",0,31,4,2,0,0,455
"9152",1,19,1,4,0,0,1663
"9152",1,22,2,3,1,0,1323
"9152",0,33,4,2,0,0,910
"9152",0,43,3,2,0,1,1527
"9152",0,14,2,3,0,0,1107
"9152",1,1,2,3,1,0,1130
"9152",1,14,1,1,0,1,1497
"9152",0,16,2,3,0,0,554
"9152",1,10,1,1,1,0,1335
"9152",0,21,4,2,0,0,389
"9152",0,33,4,1,1,0,1059
"9152",1,25,4,2,0,0,389
"9152",1,39,2,3,0,0,735
"9152",0,36,2,3,1,0,997
"9152",1,49,4,1,0,0,1339
"9152",1,1,1,3,1,1,848
"9152",1,34,2,1,1,0,1335
"9152",1,36,3,1,0,0,396
"9152",0,47,4,2,1,0,700
"9152",1,34,3,2,0,0,667
"9152",1,23,3,2,1,0,530
"9152",0,10,4,3,0,0,664
"9152",1,24,2,2,1,0,1057
"9152",1,19,3,2,0,0,667
"9152",0,43,2,1,1,0,1335
"9152",0,23,1,4,0,0,1468
"9152",0,50,1,4,0,0,734
"9152",1,4,3,2,0,0,667
"9152",1,34,3,2,0,0,334
"9152",1,14,4,2,1,0,618
"9152",1,14,4,1,1,0,532
"9152",1,15,4,3,0,0,293
"9152",1,50,2,2,1,0,1057
"9152",1,25,2,4,1,0,749
"9152",0,10,4,4,0,0,1035
"9152",1,16,4,2,1,0,618
"9152",0,50,2,2,0,0,1761
"9152",0,44,2,3,1,0,565
"9152",1,15,4,3,0,0,586
"9152",1,10,1,1,0,0,1483
"9152",1,24,2,1,1,0,1767
"9152",1,18,4,2,1,0,700
"9152",1,16,2,3,0,0,1107
"9152",1,16,4,2,0,0,171
"9152",0,36,2,3,1,0,498
"9152",0,43,3,1,1,1,607
"9152",1,18,3,2,1,0,601
"9152",0,48,3,1,1,0,1102
"9152",0,17,3,1,1,0,1427
"9152",1,50,2,3,1,0,1495
"9152",0,36,4,2,0,0,343
"9152",1,43,1,2,1,0,2249
"9152",0,43,4,4,1,0,466
"9152",1,10,3,4,0,0,423
"9152",0,36,3,3,0,1,963
"9152",0,32,1,3,1,0,513
"9152",0,36,2,1,1,0,1178
"9152",0,28,3,3,0,0,280
"9152",1,21,4,2,1,0,700
"9152",1,43,4,3,1,0,598
"9152",0,34,2,2,0,0,998
"9152",1,3,2,1,0,1,1542
"9152",1,23,2,1,0,0,1963
"9152",1,15,4,2,0,0,343
"9152",1,45,1,2,0,0,1513
"9152",1,1,3,3,1,0,859
"9152",1,27,2,1,1,0,1213
"9152",1,47,3,1,1,0,404
"9152",0,19,3,1,1,1,1213
"9152",0,28,2,3,1,0,498
"9152",0,36,2,2,0,0,1174
"9152",1,5,4,3,1,0,272
"9152",1,14,4,3,0,0,293
"9152",0,5,4,1,0,1,1393
"9152",1,36,4,2,1,0,618
"9152",1,14,3,1,0,0,1980
"9152",0,47,1,3,1,0,1130
"9152",0,23,3,1,1,0,713
"9152",0,5,3,2,0,0,1213
"9152",0,21,2,4,0,0,2495
"9152",1,1,2,3,0,0,1255
"9152",1,23,2,3,1,0,997
"9152",0,6,3,1,0,0,1224
"9152",1,45,2,2,1,0,544
"9152",0,44,2,1,0,0,1483
"9152",1,3,2,1,1,0,1213
"9152",1,13,3,1,1,0,735
"9152",1,36,2,4,1,0,661
"9152",0,50,4,1,1,0,266
"9152",0,1,2,2,1,0,1198
"9152",0,21,4,1,0,0,670
"9152",0,5,4,2,1,0,318
"9152",1,5,4,2,0,0,706
"9152",1,10,4,2,0,0,777
"9152",1,10,3,1,0,0,1795
"9152",0,5,2,4,1,0,680
"9152",0,10,4,1,1,0,603
"9152",0,35,1,3,1,0,498
"9152",1,14,4,3,1,0,264
"9152",1,48,2,2,0,0,1209
"9152",1,23,2,2,0,0,587
"9152",1,3,2,4,1,0,680
"9152",1,23,2,1,1,0,1178
"9152",0,10,3,3,1,1,430
"9152",1,21,4,3,1,0,897
"9152",0,32,2,4,1,1,2043
"9152",1,5,4,1,0,0,913
"9152",1,23,4,2,1,0,618
"9152",1,43,3,2,0,0,667
"9152",0,18,4,3,1,0,598
"9152",0,48,4,2,1,0,636
"9152",0,8,4,2,0,0,1166
"9152",0,48,4,3,0,0,151
"9152",1,23,2,3,0,0,1107
"9152",1,21,3,1,0,0,898
"9152",0,5,3,2,0,0,606
"9152",1,15,2,2,0,0,1174
"9152",1,5,3,2,1,0,410
"9152",1,1,3,3,1,0,572
"9152",1,44,2,2,0,0,1330
"9152",1,6,3,3,1,0,260
"9152",1,5,2,1,1,0,1213
"9152",0,24,4,1,0,0,1182
"9152",1,17,4,2,0,0,686
"9152",1,5,3,2,1,0,1092
"9152",0,6,4,2,1,0,318
"9152",1,25,2,3,1,0,565
"9152",1,5,3,2,1,0,273
"9152",0,51,1,3,0,0,1140
"9152",0,16,3,2,1,0,530
"9152",1,25,1,4,0,0,1663
"9152",1,49,1,2,0,0,1665
"9152",1,19,3,3,1,0,286
"9152",0,5,3,2,1,0,546
"9152",0,5,1,1,1,0,607
"9152",1,48,2,1,0,0,1347
"9152",1,21,2,1,0,0,2224
"9152",0,10,2,4,0,0,1663
"9152",0,18,1,4,1,0,749
"9152",0,21,4,2,1,0,350
"9152",0,47,4,1,1,0,302
"9152",0,14,2,2,0,0,1761
"9152",0,36,2,2,0,1,1343
"9152",0,41,2,4,1,0,749
"9152",1,33,2,3,0,1,3362
"9152",1,5,4,2,0,0,353
"9152",1,16,3,3,0,0,841
"9152",1,10,2,1,1,0,2670
"9152",1,11,2,2,0,1,3044
"9152",1,36,2,4,0,0,1468
"9152",0,33,4,3,1,0,1751
"9152",1,39,2,2,1,0,701
"9152",1,1,2,1,1,0,1335
"9152",1,36,1,3,1,0,997
"9152",1,22,2,3,1,0,2646
"9152",1,31,2,2,1,0,1403
"9152",1,33,3,2,0,0,781
"9152",0,44,2,1,1,0,1335
"9152",1,14,2,2,1,0,1057
"9152",1,44,3,2,1,0,300
"9152",1,3,3,3,1,0,520
"9152",0,39,3,3,1,1,1006
"9152",0,36,4,3,0,0,879
"9152",0,7,2,1,0,0,4341
"9152",1,39,3,4,1,0,893
"9152",1,31,2,2,1,0,701
"9152",1,7,2,2,0,0,1558
"9152",1,10,2,3,0,0,1255
"9152",0,49,2,4,0,0,2495
"9152",0,22,3,3,0,0,744
"9152",1,33,2,2,0,0,1558
"9152",1,39,2,2,0,0,779
"9152",1,22,3,3,0,0,744
"9152",0,7,4,3,0,0,1167
"9152",0,33,4,2,1,0,205
"9152",0,16,3,2,0,0,589
"9152",1,5,3,3,1,0,1040
"9152",1,33,4,1,0,0,2353
"9152",1,39,4,1,0,0,784
"9152",1,44,4,1,0,0,670
"9152",0,33,4,2,1,0,820
"9152",1,10,2,1,1,0,1335
"9152",1,33,2,3,0,0,2204
"9152",1,43,4,3,1,0,1196
"9152",1,23,2,4,1,0,661
"9152",0,39,3,2,1,0,704
"9152",0,33,1,1,0,0,5209
"9152",0,39,3,1,0,0,1051
"9152",1,20,4,1,0,0,784
"9152",0,33,4,3,0,0,583
"9152",0,50,4,3,1,0,264
"9152",0,39,2,1,0,0,1736
"9152",0,33,2,3,0,0,1469
"9152",0,7,2,2,0,0,779
"9152",1,34,2,1,1,0,668
"9152",1,33,4,2,1,0,410
"9152",0,22,2,1,0,0,4341
"9152",1,4,2,2,1,0,1198
"9152",1,39,2,3,1,0,661
"9152",1,36,2,4,1,0,661
"9152",1,31,4,3,1,0,701
"9152",1,17,2,3,1,0,997
"9152",0,19,3,3,1,0,859
"9152",0,23,4,4,1,0,411
"9152",1,23,3,3,0,0,561
"9152",0,38,4,1,0,0,913
"9152",1,33,1,4,0,0,1948
"9152",1,1,4,3,1,0,598
"9152",0,33,3,4,1,0,446
"9152",0,31,3,3,1,0,670
"9152",0,40,2,4,1,0,1754
"9152",0,39,2,3,1,0,1323
"9152",1,39,4,2,1,0,820
"9152",0,31,4,3,1,0,350
"9152",0,23,2,3,1,0,498
"9152",1,14,3,1,0,0,1188
"9152",1,44,2,4,1,0,749
"9152",0,22,2,3,1,0,661
"9152",0,23,3,2,1,0,530
"9152",1,18,3,1,1,0,1213
"9152",0,47,1,4,1,1,1124
"9152",0,36,2,4,1,0,1322
"9152",0,7,2,3,1,0,1984
"9152",0,22,2,2,0,0,779
"9152",0,33,4,3,1,0,350
"9152",0,39,3,1,1,0,947
"9152",0,45,2,1,1,0,1213
"9152",1,50,2,4,1,1,1983
"9152",0,33,3,3,1,0,670
"9152",1,39,4,3,0,0,778
"9152",0,26,3,3,0,1,642
"9152",1,14,3,4,1,0,673
"9152",0,7,4,1,0,0,784
"9152",1,17,2,1,1,0,1178
"9152",1,10,4,1,1,0,302
"9152",0,22,2,1,1,0,782
"9152",0,14,2,2,0,0,1174
"9152",1,31,4,1,1,0,706
"9152",1,33,1,3,1,0,661
"9152",0,50,1,3,1,0,997
"9152",1,48,4,2,0,0,706
"9152",1,44,2,2,0,1,3044
"9152",1,42,3,4,1,0,336
"9152",0,39,2,3,1,0,2646
"9152",1,1,2,2,1,0,1198
"9152",0,22,4,2,1,0,410
